,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
DEAL,Scrypt,PoW/PoS,1404157529.46026,5121951220,-0.28675311957201843,1.1110433851628334,-0.45675225535506214,iDealCash,0
JUMP,NIST5,PoW,21069346.2522598,21000000,-0.1869752553366529,-0.649580253521367,0.02620088313633252,Jumpcoin,3
INFX,Lyra2RE,PoW,5097689.71077377,26280000,-0.15541226072752048,-2.276768172155274,0.36278551012352733,Infinex,3
XBI,XEVAN,PoS/PoW,10904963.0923455,21000000,-0.3329525665365378,0.9416557194945798,-0.8263611031390756,Bitcoin Incognito,0
KEC,Tribus,PoW,795447.0,18000000,-0.1492932663377141,-2.2106896491437196,0.4436587952996927,KEYCO,3
HWC,Scrypt,PoS,38706809.466535,26000000,-0.2978302918634269,0.879830693545555,-0.23920048632099358,HollyWoodCoin,0
GIN,Lyra2Z,PoW,6986399.70430446,10500000,-0.15652642078891157,-2.209060795299557,0.34506088437231747,GINcoin,3
PLTC,CryptoNight,PoW,84300.0,600000518,0.30539919143873195,-2.3209033331070534,0.33385912403035,PlatinCoin,3
LOKI,CryptoNight Heavy,PoW,19153632.0,150000000,0.5945693106147101,-2.27258724239986,0.30625601262212393,Loki,3
NCP,CryptoNight,PoW,41294520017.0,184000000000,2.1097414269164716,-2.388099545738107,0.3265268375392479,Newton Coin,3
SIC,Scrypt,PoW/PoS,10200000000.0,10200000000,-0.14327385943132992,1.1124856372001208,-0.4572647382550567,Swisscoin,0
XT3,Scrypt,PoS,7630000.0154,44000000,-0.29808251882341774,0.8798089365115357,-0.23919978532058728,Xt3ch,0
MGD,Jump Consistent Hash,PoW,135862416.039898,168000000,-0.1473366452967093,-2.325374174679561,0.3668646785136718,MassGrid,3
VIG,SHA-256D,PoW/PoS,33238183.7225834,100000000,-0.3339122093106754,1.9455610462173922,-0.6806875005619711,TheVig,0
PLURA,CryptoNight,PoW,560085952.404637,1000000000,0.3150775571598883,-2.320847064380975,0.33382412799624855,PluraCoin,3
EMAR,Scrypt,PoW/PoS,21599339.6728,84000000,-0.33935129465806363,1.112782120250411,-0.4565408017434121,EmaratCoin,0
DKD,X15,PoS,30284196.369129,90000000,-0.18874856005565604,1.639712793621403,-0.38593115383370247,Dekado,0
LYNX,Scrypt,HPoW,77872059787.8998,92000000000,2.219942650130556,0.450184754348246,-0.26740274349253784,Lynx,0
POSQ,Quark,PoS,2716264.95302831,650000000 ,-0.35070235356316537,1.4528156325056345,-0.24583380655283915,Poseidon Quark,0
BWS,SHA-256,PoS,57811001.000889,100262205,-0.27039474541593206,0.600966812840314,-0.09896535534991685,BitcoinWSpectrum,0
MUSE,DPoS,PoS,18194936.0,18081806 ,1.014038495388859,1.722240738293268,0.05117024923424697,Muse,0
XMN,X16R,PoW,8125865.02097646,22075700,-0.1933082456116192,-1.3460105777452358,0.2620858556867606,Motion,3
PLUS1,HMQ1725,PoW,8645406.16776286,21000000,-0.1563992578116975,-2.220989667966618,0.3730136853241579,PlusOneCoin,3
AXE,X11,PoW,4993030.69736615,21000000,-0.21901283442289188,-0.982605627240682,-0.011177653668621449,Axe,3
TRVC,X16R,PoW/PoS,36923120.6205934,82546564,-0.3582069974518351,0.8306347606444314,-0.21247288767706388,Trivechain,0
DTEM,Quark,PoS,7082392.24744494,21000000,-0.355106484358438,1.4531091030153303,-0.245814563170984,Dystem,0
GIC,Quark,PoW/PoS,5919489.76813523,5151000,-0.39695597071758715,1.6861016456455376,-0.46315324334997604,Giant,0
PNY,Scrypt,PoS,1042012.45227735,16880000000,-0.17885256776807237,0.8720014136747397,-0.23971931894584833,Peony Coin,0
